,FishFuzz,,,,,,,,,,AFLFast,,,,,,,,,,FairFuzz,,,,,,,,,,EcoFuzz,,,,,,,,,,KScheduler,,,,,,,,,,AFL++,,,,,,,,,,Fish++,,,,,,,,,,AFL,,,,,,,,,
,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
cflow,3976,3981,3979,3978,3972,3970,3969,3976,3970,3972,3985,3940,3930,3945,3928,3935,3937,3930,3940,4050,3927,3936,3935,3922,3919,3948,4033,3917,3928,3936,3970,3958,3964,3961,3966,3962,3970,3969,3967,3961,3941,3950,3940,3956,3960,3939,3949,3935,3954,3865,3945,3955,3951,3951,3951,3969,3949,3961,3947,3963,3977,3978,3981,3981,3981,3981,3978,3976,3981,3978,4052,3970,3948,3946,3959,3963,3944,3953,3949,3952
mujs,6479,6383,6319,6431,6448,6542,6512,6790,6379,6461,6248,6176,6112,6149,6194,5917,6236,6017,6104,6075,6267,6386,6324,6266,6345,6333,6330,6259,6271,6213,6206,6170,6157,6078,6130,6105,6248,6121,6049,6301,6125,5823,6055,6058,5931,6081,5881,5999,6117,6155,6371,6415,6406,6510,6407,6566,6439,6370,6429,6423,6525,6534,6877,6574,6499,6595,6593,6513,6683,6573,5999,5971,6022,6091,6033,6060,5974,5973,6012,5957
tic,4843,4828,4747,4744,4803,4821,4815,4567,4459,4687,4518,4498,3093,4288,4564,4410,4501,4317,4191,4331,4561,4637,4288,4518,4501,4465,4476,4336,4584,4333,4436,4586,4581,4622,4557,4360,4671,4750,4588,4358,4270,4281,4471,4520,4343,4320,4299,4530,4596,3095,4596,4772,4595,4523,4608,4624,4491,4369,4573,4716,4766,4524,4907,4833,4907,4795,4912,4822,4888,4839,4209,3162,4309,4287,4568,4269,3130,4548,4519,4353
mupdf,8330,8423,8297,8392,8388,8322,8474,8358,8387,8306,8227,8277,8256,8187,8200,8188,8173,8264,8242,8300,8234,8262,8251,8382,8236,8302,8185,8279,8341,8216,8174,8300,8289,8206,8215,8170,8189,8302,8147,8165,0,0,0,0,0,0,0,0,0,0,8295,8373,8189,8245,8308,8223,8189,8167,8368,8190,8256,8324,8358,8317,8349,8287,8263,8255,8312,8267,8112,8196,8135,8167,8058,8161,8131,8118,8118,8125
dwarfdump,2977,2951,3158,2988,3145,2935,3158,2955,3154,3490,2686,2733,2756,2818,2876,2768,2887,2793,2791,2787,3109,2940,2979,2934,2898,2934,3102,2930,2932,2903,2948,3101,3074,2951,2964,2954,2978,3094,3144,2849,3102,2808,2899,2928,2917,3058,2808,2908,2906,3075,2853,2904,2904,2902,2745,3109,3106,2927,3131,3089,2939,2870,2934,2924,2942,2904,3107,2904,3103,3112,2941,2922,3111,2986,2961,2962,2990,2990,3140,2995
w3m,2990,3742,3652,3669,3730,3672,3655,3574,3698,3672,2833,2833,2833,2833,2833,2833,2833,2833,2833,2833,2836,2836,2836,2836,2836,2836,2836,2836,2836,2836,3644,3730,3648,3651,3627,3630,3651,3616,3636,3723,2970,2948,2937,3008,2962,2951,3049,2977,2951,2880,3618,3663,3660,3642,3662,3623,3654,3633,3655,3659,3675,3766,3672,3757,3667,3648,3669,3673,3770,3660,2823,2823,2823,2823,2823,2820,2823,2823,2823,2823
cxxfilt,7831,7537,7797,7833,7840,7696,7559,7581,7543,7787,7070,6953,6997,7051,7045,7145,7120,7059,7181,7001,7109,7144,7229,6976,7289,7095,7274,7171,7026,7227,7117,6830,6947,6890,6964,6922,7161,6821,7157,6879,6648,6572,6858,6905,6908,6852,7003,7002,7030,6977,7433,7436,7591,7459,7507,7530,7375,7369,7574,7486,7956,7969,8075,8060,8143,7990,7994,7923,8081,8087,6891,6884,6732,6798,6835,6965,6813,6900,6719,6893
